Text about trial;mCRPC?
"NCT00134056S0421, Docetaxel and Prednisone With or Without Atrasentan in Treating Patients With Stage IV Prostate Cancer and Bone Metastases That Did Not Respond to Previous Hormone TherapyRATIONALE: Drugs used in chemotherapy, such as docetaxel, prednisone, and atrasentan work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving more than one drug (combination chemotherapy) may kill more tumor cells. It is not yet known whether docetaxel, prednisone, and atrasentan are more effective than docetaxel and prednisone in treating prostate cancer.

PURPOSE: This randomized phase III trial is studying docetaxel, prednisone, and atrasentan to see how well they work compared to docetaxel and prednisone in treating patients with stage IV prostate cancer and bone metastases that did not respond to previous hormone therapy.DRUG: atrasentan hydrochloride|DRUG: docetaxel|DRUG: prednisone|OTHER: placeboCompare Survival Between a Control or Standard Therapy Arm of Docetaxel + Placebo + Prednisone With Docetaxel + Atrasentan + Prednisone in Patients With Hormone Refractory Prostate Cancer., Measured from date of registration to date of death due to any cause. Patient last known to be alive are censored at date of last contact., Up to 7 years after study opens|Compare Progression-free Survival Between a Control or Standard Therapy Arm of Docetaxel + Placebo + Prednisone With Docetaxel + Atrasentan + Prednisone in Patients With Hormone Refractory Prostate Cancer., Measured from date of registration to date of first observation of progressive disease, or death due to any cause. Patients without progression are censored at date of last contact. Disease progression is defined by confirmed bone disease progression, soft tissue or pain progression., Up to 7 years after study opensMetastatic Cancer|Prostate Cancer";TRUE
"NCT00214136Intensity Modulated Radiation Therapy (IMRT) Radiotherapy for Treating Prostate Pelvic NodesThe purpose of this study is to examine the clinical feasibility and efficacy of uing IMRT to escalate the biologically effective dose to the pelvic lymph nodes in a short course of radiation therapy. An increased total and biologically effective dose will be delivered to the pelvic lymph nodes (56 Gy at 2 Gy/fraction). The prostate will receive standard ""short course"" IMRT of radiation (70 Gy at 2.5 Gy/fraction).RADIATION: radiotherapyNumber of Participants Experiencing Expected Toxicities, Tolerances to high dose RT to Pelvic Lymph nodes in treatment of prostate cancer; measured by participants experiencing expected toxicities., Up to 5 yearsProstate Cancer";FALSE
NCT00223665Effects of IAS in Men With Localized Biochemical Relapsed Prostate CancerThis study was a prospective analysis in men with localized prostate cancer who had rising Prostate Specific Antigen (PSA) levels after definitive treatment with surgery or radiation. Patients received Intermittent Androgen Suppression (IAS) in 9 month cycles until they became metastatic, became castrate resistant, or withdrew from the study. Subjects were monitored for time to development of Castration Resistant Prostate Cancer (CRPC) and overall survival. They were also monitored for the impact of IAS on a variety of neuro-psychiatric assessments and on bone density.DRUG: Flutamide|DRUG: Leuprolide AcetateTime to Androgen Independence of Serum Prostate-Specific Antigen (PSA), Monthly Prostate-Specific Antigen (PSA) testing to assess the point at which each patient's disease stops responding to Androgen Deprivation Therapy (ADT). Androgen Independence (AI), also know as Castrate Resistance (CR), was defined as 2 serial rises in PSA while on ADT with Testosterone levels \<50 ng/dL., From date of first treatment until the date of development of CR, metastatic progression, or study withdrawal, whichever came first, assessed up to 16 years.|Effect of IAS on Overall Survival., Assessment of overall survival measured as median time from completion of first full cycle of IAS until date of death from any cause., From date of first treatment until the date of death or study withdrawal, whichever came first, assessed up to 16 years.Prostate Cancer;FALSE
"NCT00283062Adjuvant Leuprolide With or Without Docetaxel in High Risk Prostate Cancer After Radical ProstatectomyThis is a prospective, multicenter, open-label, randomized phase III study in participants at high risk of recurrent prostate cancer after radical prostatectomy. The study will investigate

* Treatment with docetaxel (TAXOTERE¬Æ) every three weeks (q3w) plus leuprolide acetate (ELIGARD¬Æ) versus leuprolide acetate alone (ELIGARD¬Æ)
* Immediate treatment following prostatectomy versus deferred treatment at the time of relapse

Using a 2x2 factorial design participants will therefore be randomized to

* Immediate adjuvant treatment with docetaxel plus leuprolide acetate (chemotherapy and hormonal therapy)
* Immediate adjuvant treatment with leuprolide acetate alone (hormonal therapy)
* Deferred treatment with docetaxel plus leuprolide acetate (chemotherapy and hormonal therapy)
* Deferred treatment with leuprolide acetate alone (hormonal therapy)

Primary Objective:

* The primary objective of the study is to compare progression-free survival using a 2x2 factorial design

Secondary Objectives:

* To compare the 5-year overall, cancer-specific and metastasis-free survival after systemic treatment between the groups
* To compare the safety and tolerability between Docetaxel in combination with leuprolide acetate and leuprolide acetate alone.
* To evaluate quality of life as measured by the FACT-P questionnaire.

Originally, 1696 participants were planned in the study (with 424 participants randomized to each arm). However, only a total of 211 participants completed the randomization procedure as of 26 September 2007. Thus, sanofi-aventis, in accordance with the Steering Committee, decided to stop the participant recruitment as of 26 September 2007. Participants who had already signed their Informed Consent (IC) before September 26, 2007 were allowed to enter the randomization if they met eligibility criteria. The final revised number of planned participants to be randomly assigned to the 4 treatment arms was 250, and 228 participants were actually randomized.

The final sample size did not allow all the statistical analyses to be conducted on efficacy data. Therefore, the protocol was amended to reflect the change in the plans for statistical analysis. The study was underpowered to serve as the basis for drawing conclusions regarding efficacy and quality of life (QoL) endpoints.DRUG: Docetaxel (TAXOTERE¬Æ) Chemotherapy|DRUG: Leuprolide acetate ( ELIGARD¬Æ) Hormonal Therapy|DRUG: Docetaxel (TAXOTERE¬Æ) Chemotherapy|DRUG: Leuprolide acetate ( ELIGARD¬Æ) Hormonal Therapy|DRUG: Leuprolide acetate ( ELIGARD¬Æ) Hormonal TherapyProgression-free Survival (PFS) Assessment - Number of Participants With Disease Progression, PFS is the interval from the date of surgery to date of progression. The date of progression was the earlier of

* first PSA increase to ‚â• 0.4 ng/mL confirmed within two weeks
* date of the nadir, if PSA nadir did not reach \< 0.4 ng/mL (for deferred arm)
* first radiological/ histological evidence of tumor progression
* death. Median PFS was to be estimated using Kaplan-Meier curves. However, enrollment was not met, and meaningful conclusions for efficacy or QoL could not be drawn. Median PFS could not be estimated. Reported is the number of participants with disease progression., from the date of surgery up to 3 years after randomization of the last participantProstatic Neoplasms";FALSE
"NCT00288080Hormone Therapy and Radiation Therapy or Hormone Therapy and Radiation Therapy Followed by Docetaxel and Prednisone in Treating Patients With Localized Prostate CancerRATIONALE: Androgens can cause the growth of prostate cancer cells. Hormone therapy using drugs, such as leuprolide, goserelin, flutamide, or bicalutamide, may fight prostate cancer by lowering the amount of androgens the body makes. Radiation therapy uses high-energy x-rays to kill tumor cells. Drugs used in chemotherapy, such as docetaxel and prednisone, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. It is not yet known whether giving hormone therapy and radiation therapy together with chemotherapy is more effective than giving hormone therapy together with radiation therapy in treating prostate cancer.

PURPOSE: This randomized phase III trial is studying hormone therapy and radiation therapy followed by docetaxel and prednisone to see how well it works compared to hormone therapy and radiation therapy in treating patients with localized prostate cancer.DRUG: Dexamethasone|DRUG: Prednisone|DRUG: docetaxel|DRUG: Oral antiandrogen|RADIATION: Radiation therapy|DRUG: LHRH agonistOverall Survival, Four-year rates are shown. Survival time is defined as time from randomization to date of death from any cause and is estimated by the Kaplan-Meier method. Patients last known to be alive are censored at the date of last contact., From randomization to date of death or last follow-up. Analysis occurs after all patients have been potentially followed for 4 years.Prostate Cancer";FALSE
"NCT00309985Androgen Ablation Therapy With or Without Chemotherapy in Treating Patients With Metastatic Prostate CancerRATIONALE: Androgens can cause the growth of prostate cancer cells. Androgen ablation therapy may stop the adrenal glands from making androgens. Drugs used in chemotherapy, such as docetaxel, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. It is not yet known whether androgen-ablation therapy is more effective with or without docetaxel in treating metastatic prostate cancer.

PURPOSE: This randomized phase III trial is studying androgen-ablation therapy and chemotherapy to see how well they work compared to androgen-ablation therapy alone in treating patients with metastatic prostate cancer.DRUG: androgen-deprivation therapy|DRUG: docetaxelOverall Survival, Overall survival is defined as the time from randomization to death or date last known alive. Survival data reflects the database as of December 23, 2013., Assessed every 3 months if patient is < 2 years from study entry; every 6 months if patient is 2 - 5 years from study entry; then annually if patient is 5 - 10 years from study entryMetastatic Hormone-sensitive Prostate Cancer";FALSE
"NCT00331773Radiation Therapy in Treating Patients With Stage II Prostate CancerRATIONALE: Giving radiation therapy that uses a 3-dimensional (3-D) image of the tumor to help focus thin beams of radiation directly on the tumor, and giving hypofractionated radiation therapy (higher doses over a shorter period of time), may be less costly with fewer side effects and just as effective in treating prostate cancer.

PURPOSE: This randomized phase III trial is studying several different radiation therapy regimens to compare how well they work in treating patients with stage II prostate cancer.RADIATION: Conventional 3D-CRT or IMRT|RADIATION: Hypofractionated 3D-CRT or IMRTFive-year Disease-free Survival (DFS) Rate, Five-year rates are estimated by the Kaplan-Meier method. DFS events included local progression, distant metastatic progression, biochemical recurrence as defined by the Radiation Therapy Oncology Group (RTOG) Phoenix definition, or death from any cause. Patients who experienced second primary cancers remained under observation for DFS events., Analysis occurs after all patients have been followed for five years.Prostate Cancer";FALSE
"NCT00363311Assessment Of Dutasteride (AVODART) In Extending The Time To Progression Of Low-Risk, Localized Prostate Cancer In MenThe purpose of this study is to examine the effect of dutasteride on the inhibition of low-risk, localized prostate cancer progression in men who would otherwise receive no active therapy (expectant management).DRUG: Dutasteride|DRUG: Matching placeboNumber of Participants With Prostate Cancer (PCa) Progression [Restricted Crude Rate Analysis: Number of Participants With PCa Divided by Number of Participants in the Intent-to-Treat (ITT) Population Who Had >=1 Post-baseline Biopsy or Had a Progression, PC progression (prog.) was defined as the earliest occurrence of primary therapy, also referred to as therapeutic prog., for PC (prostatectomy/radiation/hormonal therapy); or pathological prog., defined as 1 of the following: \>=4 cores involved; \>=50% of any 1 core involved; or a Gleason pattern of \>=4 as a result of any on-study/for-cause biopsy. Primary Gleason grade is assigned to the most common tumor pattern; a second grade to the next most common tumor pattern. The two grades are added together to get a score. Gleason grade= 1-5; Gleason score=2-10; 5 and 10 indicate worst prognosis., Year 1.5 and Overall (Years 0-3)Neoplasms, Prostate";FALSE
"NCT00417079XRP6258 Plus Prednisone Compared to Mitoxantrone Plus Prednisone in Hormone Refractory Metastatic Prostate CancerThis is a randomized, open-label, multi-center study comparing the safety and efficacy of XRP6258 plus prednisone to mitoxantrone plus prednisone in the treatment of hormone refractory metastatic prostate cancer previously treated with a Taxotere¬Æ-containing regimen. The primary objective is overall survival. Secondary objectives include progression free survival, overall response rate, prostate-specific antigen (PSA) response/progression, pain response/progression, overall safety, and pharmacokinetics. Patients will be treated until disease progression, death, unacceptable toxicity, or for a maximum of 10 cycles. Patients will have long-term follow-up for a maximum of up to 2 years.DRUG: cabazitaxel (XRP6258) (RPR116258)|DRUG: mitoxantrone|DRUG: prednisoneOverall Survival, Overall survival was defined as the time interval from the date of randomization to the date of death due to any cause.

In the absence of confirmation of death, the survival time was censored at the last date patient was known to be alive or at the cut-off date, whichever had come first., From the date of randomization up to 104 weeks (study cut-off)Neoplasms|Prostatic Neoplasms";TRUE
"NCT00430183Surgery With or Without Docetaxel and Leuprolide or Goserelin in Treating Patients With High-Risk Localized Prostate CancerRATIONALE: Drugs used in chemotherapy, such as docetaxel, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Androgens can cause the growth of prostate cancer cells. Antihormone therapy, such as goserelin and leuprolide, may stop the adrenal glands from making androgens. Giving docetaxel and leuprolide or goserelin before surgery may make the tumor smaller and reduce the amount of normal tissue that needs to be removed. It is not yet known whether giving docetaxel and leuprolide or goserelin before surgery is more effective than surgery alone in treating patients with prostate cancer.

PURPOSE: This randomized phase III trial is studying docetaxel and leuprolide or goserelin to see how well they work when given before surgery compared with surgery alone in treating patients with high-risk localized prostate cancer.DRUG: docetaxel|DRUG: LHRH agonist|PROCEDURE: surgeryProportion of Biochemical Progression-Free Survival (bPFS Proportion) at 3 Years, Proportion of participants surviving 3 years from randomization without biochemical progression or death. bPFS was defined as the time from randomization to the date of the first documented biochemical progression or death. Progression will be defined as having experienced either of the following: a serum PSA level \> 0.2 ng/mL that increases on 2 consecutive occasions each of which is at least 3 months apart or death occurs. The time of biochemical failure is measured from the date of randomization to the date of the first PSA level \> 0.2 ng/mL., Up to 3 yearsProstate Cancer";FALSE
NCT00438464Finasteride in Treating Patients With Stage II Prostate Cancer Who Are Undergoing SurgeryThis randomized phase II trial studies how well finasteride works in treating patients with stage II prostate cancer who are undergoing surgery. Testosterone can cause the growth of prostate cancer cells. Hormone therapy using finasteride may fight prostate cancer by lowering the amount of testosterone the body makes. Giving finasteride before surgery may make the tumor smaller and reduce the amount of normal tissue that needs to be removed.DRUG: Finasteride|OTHER: Placebo|PROCEDURE: Prostatectomy|OTHER: Laboratory biomarker analysisComparison of Biomarkers Between Treatment Arms: Percentage Change of Tumor Cells Exhibiting Detectable Staining Within Gleason Grade 3 (GG3) Biomarker Subgroups at Prostatectomy, Molecular marker expression based on tissue microarray (TMA) derived from dominant tumor focus. Staining microarrays for high-throughput assessment of candidate gene expression and data modeling constructed with a tissue microarray apparatus and 0.6-mm biopsy cores, representative of tumor grades and scores (Gleason Grades 3 (GG3) and Gleason Grade 4 (GG4)). The percentage of tumor cells exhibiting detectable staining, scored as 0 to 10 where higher score designates more involvement, as applicable for: vascular epithelial growth factor (VEFG), estrogen receptor beta (ERŒ?), androgen receptor (AR), 3-oxo-5Œ±-steroid 4-dehydrogenase 2 (SRD5A2), ubiquitin-conjugating enzyme E2C (UBE2C), and Cleaved Caspase 3 (Caspase). P values are based on non-parametric Wilcoxon rank-sum test., At prostatectomy following maximum 6 week treatment period|Comparison of Biomarkers Between Treatment Arms: Percentage Change of Tumor Cells Exhibiting Detectable Staining Within Gleason Grade 4 (GG4) Biomarker Subgroup at Prostatectomy, Biomarkers using pretreatment and posttreatment values. Staining microarrays for high-throughput assessment of candidate gene expression and data modeling constructed with a tissue microarray apparatus and 0.6-mm biopsy cores, representative of tumor grades and scores (Gleason Grades 3 (GG3) and Gleason Grade 4 (GG4)). The percentage of tumor cells exhibiting detectable staining, scored as 0 to 10 where higher score designates more involvement, as applicable for: VEGF denotes vascular epithelial growth factor, ERŒ? estrogen receptor beta, AR androgen receptor, SRD5A2, 3-oxo-5Œ±-steroid 4-dehydrogenase 2, UBE2C, ubiquitin-conjugating enzyme E2C. P values are based on non-parametric Wilcoxon rank-sum test., At prostatectomy following maximum 6 week treatment period|Comparison of Biomarkers Between Treatment Arms: Percentage Change of Tumor Cells Exhibiting Detectable Staining Within Gleason Grade 3 (GG3) Biomarker Subgroups at Prostatectomy, Molecular marker expression compared between tumor foci using Biomarkers pretreatment and posttreatment values. Staining microarrays for high-throughput assessment of candidate gene expression and data modeling constructed with a tissue microarray apparatus and 0.6-mm biopsy cores, representative of tumor grades and scores (Gleason Grades 3 (GG3) and Gleason Grade 4 (GG4)). The percentage of tumor cells exhibiting detectable staining, scored as 0 to 10 where higher score designates more involvement, as applicable for: VEGF denotes vascular epithelial growth factor, ERŒ? estrogen receptor beta, AR androgen receptor, SRD5A2, 3-oxo-5Œ±-steroid 4-dehydrogenase 2, UBE2C, ubiquitin-conjugating enzyme E2C., At prostatectomy following maximum 6 week treatment period.|Comparison of Biomarkers Between Treatment Arms: Percentage Change of Tumor Cells Exhibiting Detectable Staining Within Gleason Grade 4 (GG4) Biomarker Subgroup at Prostatectomy, Molecular marker expression compared between tumor foci using biomarkers pretreatment and posttreatment values. Staining microarrays for high-throughput assessment of candidate gene expression and data modeling constructed with a tissue microarray apparatus and 0.6-mm biopsy cores, representative of tumor grades and scores (Gleason Grades 3 (GG3) and Gleason Grade 4 (GG4)). The percentage of tumor cells exhibiting detectable staining, scored as 0 to 10 where higher score designates more involvement, as applicable for: VEGF denotes vascular epithelial growth factor, ERŒ? estrogen receptor beta, AR androgen receptor, SRD5A2, 3-oxo-5Œ±-steroid 4-dehydrogenase 2, UBE2C, ubiquitin-conjugating enzyme E2C., At prostatectomy following maximum 6 week treatment period.Adenocarcinoma of the Prostate|Stage II Prostate Cancer;FALSE
"NCT00450411Ultrasound-Guided Implant Radiation Therapy in Treating Patients With Locally Recurrent Prostate Cancer Previously Treated With External-Beam Radiation TherapyRATIONALE: Implant radiation therapy uses radioactive material placed directly into or near a tumor to kill tumor cells.

PURPOSE: This phase II trial is studying the side effects and how well ultrasound-guided implant radiation therapy works in treating patients with locally recurrent prostate cancer previously treated with external-beam radiation therapy.RADIATION: 125-Iodine|RADIATION: 103-palladiumNumber of Patients With Late Treatment-related Gastrointestinal (GI) and Genitourinary (GU) Adverse Events (AE), Adverse events are graded using CTCAE v3.0. Grade refers to the severity of the AE. The CTCAE v3.0 assigns Grades 1 through 5 with unique clinical descriptions of severity for each AE based on this general guideline: Grade 1 Mild AE, Grade 2 Moderate AE, Grade 3 Severe AE, Grade 4 Life-threatening or disabling AE, Grade 5 Death related to AE. For the purposes of this study, late treatment-related adverse events were evaluated between 271 days and 730 days from the implant., Between 271 days and 730 days from date of implantationProstate Cancer";FALSE
"NCT00519285Aflibercept in Combination With Docetaxel in Metastatic Androgen Independent Prostate CancerPrimary objective was to demonstrate overall survival improvement with aflibercept compared to placebo in patients receiving docetaxel / prednisone for metastatic androgen-independent prostate cancer (MAIPC).

The secondary objectives were:

* To assess the efficacy of aflibercept compared to placebo on other parameters such prostate-specific antigen (PSA) level, cancer related pain, progression free survival (PFS), tumor-based and skeletal events and health-related quality of life (HRQL);
* To assess the overall safety in both treatment arms;
* To determine the pharmacokinetics of intravenous (IV) aflibercept in this population;
* to determine immunogenicity of IV aflibercept.DRUG: Aflibercept|DRUG: Placebo (for aflibercept)|DRUG: Docetaxel|DRUG: Prednisone or PrednisoloneOverall Survival Time, Overall survival (OS) time was measured as the time from date of randomization to the date of death due to any cause.

The median OS time and its 95.6% confidence interval were estimated using the Kaplan-Meier method. In the absence of confirmation of death, the participant was censored at the last date he/she was known to be alive or the study cut-off date (when 873 deaths have occurred), whichever was earlier., From randomization up to the cut-off date (median follow-up of 35.4 months)Prostatic Neoplasms|Neoplasm Metastasis";TRUE
