Text about trial;Therapeutic intervention?
NCT00638690Abiraterone Acetate in Castration-Resistant Prostate Cancer Previously Treated With Docetaxel-Based ChemotherapyThis is a phase 3 study to compare the clinical benefit of abiraterone acetate plus prednisone with placebo plus prednisone in patients with metastatic castration-resistant prostate cancer (CRPC) who have failed one or two chemotherapy regimens. At least one of the previous chemotherapies must have contained docetaxel.DRUG: Placebo|DRUG: Abiraterone acetate|DRUG: Prednisone/prednisoloneOverall Survival, Overall survival is defined as the time interval from the date of randomization to the date of death from any cause., Up to 60 monthsProstatic Neoplasms;TRUE
"NCT00683475A Study of IMC-A12 or Ramucirumab Plus Mitoxantrone and Prednisone in Prostate CancerThe purpose of this study is to determine whether IMC-A12 or IMC-1121B (ramucirumab) with Mitoxantrone and Prednisone is effective in the treatment of metastatic androgen- independent prostate cancer (APIC).BIOLOGICAL: IMC-A12|DRUG: Mitoxantrone|DRUG: Prednisone|BIOLOGICAL: IMC-1121B (ramucirumab)Composite Progression-free Survival (cPFS), Defined as the median time from randomization to the earliest of:

1. Tumor progression by Response Evaluation Criteria in Solid Tumors (RECIST);
2. Evidence of progression by bone scan, performed after completion of the first 3 cycles, demonstrating the appearance of \>=2 new lesions;
3. New skeletal events (New pathologic bone fracture in the region of metastatic disease; New bone lesion requiring radiation or surgery; Spinal cord or nerve root compression)
4. Symptomatic progression (for participants without measurable disease);
5. Other clinical events attributable to prostate cancer that require major interventions; or
6. Death from any cause

Participants who were ongoing with no progression or who discontinued treatment for reasons other than progression were censored at date of last assessment. Participants who started new anticancer treatment before progression were censored at date of last assessment before start of new anti-cancer therapy., Randomization to composite progressive disease, up to 23.4 monthsProstate Cancer";TRUE
NCT00699751A Phase III Study of Radium-223 Dichloride in Patients With Symptomatic Hormone Refractory Prostate Cancer With Skeletal MetastasesALSYMPCA (ALpharadin in SYMPtomatic Prostate CAncer) is an international Phase III clinical study to evaluate the efficacy and safety of Radium-223 dichloride in patients with hormone refractory prostate cancer and skeletal metastases.DRUG: Radium-223 dichloride (Xofigo, BAY88-8223)|DRUG: Placebo|DRUG: Best standard of care (BSoC)Overall Survival, Overall survival was defined as the time from date of randomization to the date of death., From randomization to death due to any cause until approximately 3 years after start of enrollment, the data was collected up to the second data analysis date (15 JUL 2011)Hormone Refractory Prostate Cancer|Bone Metastases;TRUE
"NCT00887198Abiraterone Acetate in Asymptomatic or Mildly Symptomatic Patients With Metastatic Castration-Resistant Prostate CancerThis is a phase 3 study to compare the clinical benefit of abiraterone acetate plus prednisone with placebo plus prednisone in asymptomatic or mildly symptomatic patients with metastatic castration-resistant prostate cancer (CRPC).DRUG: Abiraterone acetate|DRUG: Placebo|DRUG: PrednisoneOverall Survival, Overall survival is defined as the time from randomization to date of death from any cause., From randomization (Day 1) up to end of study (Month 60)|Radiographic Progression-free Survival (rPFS), The rPFS was defined as the time from randomization to the occurrence of one of the following: 1) a participant was considered to have progressed by bone scan if - a) the first bone scan with greater than or equal to (\>=) 2 new lesions compared to baseline was observed in less than (\<) 12 weeks from randomization and was confirmed by a second bone scan taken \>=6 weeks later showing \>=2 additional new lesions (a total of \>=4 new lesions compared to baseline), b) the first bone scan with \>=2 new lesions compared to baseline was observed in \>=12 weeks from randomization and the new lesions were verified on the next bone scan \>=6 weeks later (a total of \>=2 new lesions compared to baseline); 2) progression of soft tissue lesions measured by computerized tomography (CT) or magnetic resonance imaging (MRI); 3) death from any cause., From randomization (Day 1) up to first radiographic progression or cutoff date (Month 18)Prostate Cancer";TRUE
NCT00974311Safety and Efficacy Study of MDV3100 in Patients With Castration-Resistant Prostate Cancer Who Have Been Previously Treated With Docetaxel-based ChemotherapyThis is a phase 3 study to compare the clinical benefit of MDV3100 versus placebo in patients with castration-resistant prostate cancer who have been previously treated with docetaxel-based chemotherapy.DRUG: Enzalutamide|DRUG: PlaceboOverall Survival, Survival was defined as time from randomization to death due to any cause. The duration of overall survival was right-censored for participants who were lost to follow-up since randomization or not known to have died at the data analysis cut-off date (this included participants who were known to have died after the data analysis cut-off date)., During study period (up to 101 months)Castration-Resistant Prostate Cancer;TRUE
"NCT00988208Study to Evaluate Safety and Effectiveness of Lenalidomide in Combination With Docetaxel and Prednisone for Patients With Castrate-Resistant Prostate CancerThe purpose of the study is to determine whether lenalidomide is safe and effective for use in combination with docetaxel and prednisone for the treatment of subjects with metastatic Castrate-Resistant Prostate Cancer.

The addition of lenalidomide to docetaxel and prednisone is proposed to increase the life expectancy of these subjects.DRUG: Lenalidomide|DRUG: Docetaxel|DRUG: Prednisone|DRUG: PlaceboOverall Survival (OS), Overall survival (OS) was the time from the date of randomization to the date of death from any cause. If no death was reported for a participant before the cut-off date for OS analysis, OS was censored at the last date at which the participant was alive. The median OS was calculated based on Kaplan-Meier estimates and corresponding 95% confidence interval (CI) was calculated using the method provided by Brookmeyer and Crowley., From randomization until death from any cause up to the cut-off date of 13 January 2012; up to approximately 26 monthsProstate Cancer";TRUE
NCT01057810Phase 3 Study of Immunotherapy to Treat Advanced Prostate CancerThe purpose of this study is to determine if asymptomatic or minimally symptomatic patients with metastatic prostate cancer who have not received chemotherapy live longer when treated with ipilimumab than those treated with a placeboDRUG: Ipilimumab|DRUG: PlaceboOverall Survival (OS) Time, OS was defined as the time from the date of randomization until the date of death. For participants without documentation of death, OS was censored at the last date the participant was known to be alive., Randomization until death from any cause, up to April 2015, approximately 57 monthsProstate Cancer;TRUE
NCT01193244Study Comparing Orteronel Plus Prednisone in Participants With Chemotherapy-Naive Metastatic Castration-Resistant Prostate CancerThis is a randomized, double-blind, multicenter, phase 3 study evaluating orteronel (TAK-700) plus prednisone compared with placebo plus prednisone in the treatment of men with progressive, chemotherapy-naive, metastatic, castration-resistant prostate cancer (mCRPC)DRUG: Orteronel|DRUG: Placebo|DRUG: PrednisoneRadiographic Progression-free Survival (rPFS), rPFS was defined as the time from randomization to the first objective evidence of radiographic disease progression assessed by independent central radiology review or death due to any cause, whichever occurred first. Radiographic disease progression was evaluated by computerized tomography (CT) scan or magnetic resonance imaging (MRI) and radionuclide bone scans at regularly scheduled visits. Radiographic disease progression in bone required a confirmatory scan. Radiographic disease progression in soft tissue did not require a confirmatory scan for purposes of analysis. Radiographic disease progression was evaluated by independent central radiology review using Response Evaluation Criteria In Solid Tumors (RECIST) 1.1 for soft tissue disease and Prostate Cancer Working Group (PCWG2) guidelines for bone disease. Participants who did not reach the endpoint were censored at their last assessment., Baseline until radiographic disease progression or death, whichever occurred first (approximately up to 4.7 years)|Overall Survival, Overall survival was calculated from the date of participant randomization to the date of participant death due to any cause. Participants without documentation of death at time of the analysis were censored as of the date the participant was last known to be alive, or the data cutoff date, whichever was earlier., Baseline until death (up to 4.7 years)Prostate Cancer;TRUE
NCT01193257Study Comparing Orteronel Plus Prednisone in Participants With Metastatic Castration-Resistant Prostate Cancer.This is a randomized, double-blind, multicenter, phase 3 study evaluating orteronel plus prednisone compared with placebo plus prednisone in men with metastatic, castration-resistant prostate cancer (mCRPC) that has progressed following Docetaxel-based therapyDRUG: Orteronel|DRUG: Prednisone|DRUG: Orteronel PlaceboOverall Survival, Overall survival was calculated from the date of participant randomization to the date of participant death due to any cause. Participants without documentation of death at time of the analysis were censored as of the date the participant was last known to be alive, or the data cutoff date, whichever was earlier., Baseline until death (approximately up to 4.5 years)Prostate Cancer;TRUE
NCT01204710A Study of Olaratumab (IMC-3G3) in Prostate CancerThis is a study evaluating the safety and efficacy of the monoclonal antibody olaratumab plus mitoxantrone plus prednisone compared to mitoxantrone plus prednisone in metastatic castration-refractory prostate cancer following disease progression or intolerance on docetaxel-based chemotherapy.BIOLOGICAL: Olaratumab|DRUG: Mitoxantrone|DRUG: PrednisoneProgression-Free Survival (PFS), PFS is measured from randomization to the earliest date of the following events: PD according to Response Evaluation Criteria In Solid Tumors (RECIST) criteria version (v) 1.1, is a ‚â•20% increase in the sum of diameter of the target lesions taking as reference the smallest sum on study and an absolute increase in the sum diameter of ‚â•5 millimeter (mm), the appearance of 1 or more new lesions and/or unequivocal progression of existing nontarget lesions, unequivocal evidence of progression by bone scan, clinical progression or death from any cause. For participants who had no documented PD or death or had started new anti-cancer therapy or were lost to follow-up, PFS was censored at their last tumor assessment., Randomization to Measured PD or Death Due to Any Cause Up to 23 MonthsProstate Cancer;TRUE
NCT01212991A Safety and Efficacy Study of Oral MDV3100 in Chemotherapy-Naive Patients With Progressive Metastatic Prostate CancerThe purpose of this study is to determine the benefit of enzalutamide versus placebo as assessed by overall survival and progression-free survival in patients with progressive metastatic prostate cancer who have failed androgen deprivation therapy but not yet received chemotherapy.DRUG: Enzalutamide|DRUG: PlaceboOverall Survival, Overall survival was defined as the time from randomization to death due to any cause. For patients who were alive at the time of the analysis data cutoff, overall survival was censored at the last date the patient was known to be alive or analysis data cutoff date, whichever was first. This included patients who were known to have died after the data analysis cutoff date. Patients with no post-baseline survival information were censored on the date of randomization., During study period (up to 3 years)|Radiographic Progression-free Survival (rPFS), Radiographic progression-free survival was defined as the time from randomization to the first objective evidence of radiographic disease progression assessed by independent central radiology review or death due to any cause within 168 days after treatment discontinuation, whichever was first. Radiographic disease progression was evaluated by CT scan or MRI and radionuclide bone scans at regularly scheduled visits. Radiographic disease progression in bone required a confirmatory scan. Radiographic disease progression in soft tissue did not require a confirmatory scan for purposes of analysis. Radiographic disease progression was evaluated by independent central radiology review using RECIST 1.1 for soft tissue disease and PCWG2 guidelines for bone disease. Patients who did not reach the endpoint were censored at their last assessment., During study period (up to 20 months)Prostate Cancer;TRUE
"NCT01288911A Study of Enzalutamide Versus Bicalutamide in Castrate Men With Metastatic Prostate CancerThe purpose of this study was to determine the efficacy and safety of oral enzalutamide compared to bicalutamide in castrate men with metastatic prostate cancer who have progressed while on Luteinizing Hormone Receptor Hormone (LHRH) agonist/antagonist or after receiving a bilateral orchiectomy.DRUG: enzalutamide|DRUG: bicalutamideProgression Free Survival (PFS) Based on Independent Central Review (ICR) Assessment, PFS is the time from randomization to the date of the first progression event detected. A progression event was defined as objective evidence of radiographic disease progression based on the assessments by the ICR, skeletal-related event, initiation of new antineoplastic therapy or death by any cause, whichever occurred first.

Radiographic disease progression was defined as either a progression in soft tissue on computed tomography (CT)/magnetic resonance imaging (MRI) scan according to Response Evaluation Criteria in Solid Tumors (RECIST) 1.1, and/or a progression in bone lesions on bone scan (‚â• 2 new bone lesions) confirmed by the next bone scan.

A skeletal-related event was any radiation therapy or surgery to bone, pathologic bone fracture, spinal cord compression or change in antineoplastic therapy to treat bone pain.

The initiation of new antineoplastic therapy included any new therapy for the treatment of disease progression after the study drug administration started., From randomization until the data cut-off date of 19 October 2014, median duration of treatment was 11.6 months in the enzalutamide arm and 5.8 months in the bicalutamide arm.Prostatic Neoplasms";TRUE
"NCT01308567Cabazitaxel Versus Docetaxel Both With Prednisone in Patients With Metastatic Castration Resistant Prostate CancerPrimary Objective:

* To demonstrate the superiority of cabazitaxel plus prednisone at 25 mg/m\^2 (Arm A) or 20 mg/m\^2 (Arm B) versus docetaxel plus prednisone (Arm C) in term of overall survival (OS) in participants with metastatic castration resistant prostate cancer (mCRPC) and not previously treated with chemotherapy.

Secondary Objectives:

* To evaluate safety in the 3 treatment arms.
* To compare efficacy of cabazitaxel at 20 mg/m\^2 and 25 mg/m\^2 to docetaxel for:

  * Progression Free Survival (PFS) (RECIST 1.1)
  * Tumor progression free survival (RECIST 1.1)
  * Tumor response in participants with measurable disease (RECIST 1.1),
  * PSA response
  * PSA-Progression free survival (PSA-PFS).
  * Pain response in participants with stable pain at baseline
  * Pain progression free survival
  * Time to occurrence of any skeletal related events (SRE)
* To compare Health-Related Quality of Life (HRQL).
* To assess the pharmacokinetics and pharmacogenomics of cabazitaxel.DRUG: Cabazitaxel (XRP6258)|DRUG: Docetaxel (XRP6976)|DRUG: PrednisoneOverall Survival (OS), OS was defined as the time interval from the date of randomization to the date of death due to any cause. In the absence of confirmation of death, survival time was censored at the last date participant was known to be alive, or at the cut-off date if the participant's last contact was after the cut-off date. The study cut-off date for the final analysis of OS was the date when the 774th death had been observed. Analysis was performed by Kaplan-Meier method., Baseline up to death or study cut-off date, whichever was earlier (maximum duration: 51 months )Prostate Cancer";TRUE
"NCT01308580Cabazitaxel at 20 mg/m¬? Compared to 25 mg/m¬? With Prednisone for the Treatment of Metastatic Castration Resistant Prostate CancerPrimary Objective:

- To demonstrate the non inferiority in term of overall survival (OS) of Cabazitaxel 20 mg/m¬? (Arm A) versus Cabazitaxel 25 mg/m¬? (Arm B) in combination with prednisone in participants with metastatic castration resistant prostate cancer (mCRPC) previously treated with a docetaxel-containing regimen.

Secondary Objectives:

* To evaluate safety in the 2 treatment arms and to assess if Cabazitaxel 20 mg/m¬? was better tolerated than Cabazitaxel 25 mg/m¬?.
* To compare efficacy of Cabazitaxel at 20 mg/m¬? and 25 mg/m¬? for:

  * Progression Free Survival (PFS) defined as the first occurrence of any of the following events: tumor progression per Response Evaluation Criteria In Solid Tumors (RECIST), prostate-specific antigen (PSA) progression, pain progression or death due to any cause;
  * PSA Progression;
  * Pain progression;
  * Tumor response in participants with measurable disease (RECIST 1.1);
  * PSA response;
  * Pain response in participants with stable pain at baseline.
* To compare Health-related Quality of Life (HRQoL).
* To assess the pharmacokinetics and pharmacogenomics of Cabazitaxel.DRUG: Cabazitaxel (XRP6258)|DRUG: Prednisone (or Prednisolone)Overall Survival (OS), OS was defined as the time interval from the date of randomization to the date of death due to any cause. In absence of confirmation of death, survival time was censored at the earlier of the last date the participant was known to be alive or the study cut-off date. The cut-off date for the final analysis of OS was the date when the 988th death had been observed. Analysis was performed by Kaplan-Meier method., From baseline up to death due to any cause or study cut-off date, whichever was earlier (maximum duration: 48 months)Prostate Cancer";TRUE
"NCT01322490A Randomized, Double-blind, Phase 3 Efficacy Trial of PROSTVAC-V/F +/- GM-CSF in Men With Asymptomatic or Minimally Symptomatic Metastatic Castrate-Resistant Prostate CancerThe purpose of this study is to determine whether PROSTVAC alone or in combination with GM-CSF is effective in prolonging overall survival in men with few or no symptoms from metastatic, castrate-resistant prostate cancer.BIOLOGICAL: PROSTVAC-V|BIOLOGICAL: PROSTVAC-F|DRUG: GM-CSF|OTHER: GM-CSF Placebo|BIOLOGICAL: PlaceboOverall Survival, The time between the date of randomization and the date of death due to any cause. Subjects who did not experience death or the competing events of ""definite"" loss to follow-up or withdrawal of consent were right censored at the date of last contact. OS was calculated using the formula: OS = Date of death/competing event/censoring - date of randomization + 1., Randomization through the date of death due to any cause. Subjects were followed up for approximately 6 years from the first subject randomized to the completion of the study.Prostate Cancer Metastatic";TRUE
"NCT01360840EMD 525797 in Subjects With Asymptomatic or Mildly Symptomatic Metastatic Castrate-resistant Prostate CancerThe primary objective of the trial is to evaluate the clinical anti-tumor activity of EMD 525797 administered as 1-hour intravenous infusion every 3 weeks in terms of progression free survival (PFS) time in subjects with asymptomatic or mildly symptomatic metastatic castrate-resistant prostate cancer (mCRPC).DRUG: EMD 525797|DRUG: EMD 525797|OTHER: Placebo|OTHER: Standard of Care (SoC)Progression Free Survival (PFS) Time, PFS was defined as time from randomization until the first documented sign of objective radiographic disease progression (ORDP) or death from any cause. Death was considered as an event only if it was reported within 12 weeks after last tumor assessment without progression. ORDP was defined as: Bone lesion progression (2 or more new bone lesions compared to baseline) assessed with bone scintigraphy. Assessment was based on Response Evaluation Criteria in Solid Tumors version 1.0 (RECIST v1.0) modified as per Prostate Cancer Working Group 2 (PCWG-2); Soft-tissue lesion progression assessed with CT scans according to RECIST v1.0 modified as per PCWG-2; Presence of skeletal events defined as cord compression/fracture documented via a scheduled or unscheduled radiographic assessment triggered by increased pain or other signs and/or symptoms, based on the investigator's discretion; Non-radiological events, including emergency bone irradiation and surgery, were not investigated., Time from randomization until data cut-off date (30 April 2013), assessed up to 2 yearsProstate Cancer Metastatic";TRUE
NCT01519414Tivantinib in Treating Patients With Metastatic Prostate CancerThis randomized phase II trial studies how well tivantinib works compared to placebo in treating patients with metastatic prostate cancer. Tivantinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.OTHER: Laboratory Biomarker Analysis|OTHER: Placebo|DRUG: TivantinibProgression-free Survival (PFS) Based on the RECIST Criteria, The progression-free survival distributions between the two arms will be compared using log-rank tests. Progression-free survival curves will be constructed using the Kaplan-Meier product limit method, and additional analyses will be done using the Cox proportional hazards model., Time from study entry to the date of documented progression and/or death, assessed up to 6 monthsHormone-Resistant Prostate Cancer|Prostate Adenocarcinoma|Recurrent Prostate Carcinoma|Stage IV Prostate Cancer;TRUE
